epoch,plain,warmup
677,0.858802,0.846149
678,0.853959,0.854081
679,0.854253,0.858611
680,0.859366,0.862918
681,0.848488,0.865644
682,0.850269,0.869853
683,0.849437,0.876252
684,0.849370,0.876987
685,0.851529,0.872128
686,0.849732,0.873978
687,0.848342,0.870742
688,0.850722,0.871172
689,0.856367,0.875292
690,0.861695,0.859001
691,0.866681,0.865261
692,0.866985,0.866258
693,0.867919,0.871349
694,0.862324,0.875367
695,0.865534,0.876976
696,0.869912,0.874260
697,0.871358,0.873637
698,0.859973,0.871934
699,0.865469,0.874381
700,0.864320,0.870813
701,0.846518,0.874132
702,0.834105,0.876941
703,0.843590,0.873336
704,0.846451,0.878044
705,0.856577,0.875108
706,0.844117,0.874274
707,0.845636,0.869012
708,0.849062,0.862555
709,0.852487,0.861931
710,0.855450,0.849352
711,0.864553,0.853074
712,0.864520,0.853179
713,0.861880,0.855724
714,0.863893,0.856205
715,0.869618,0.860218
716,0.865365,0.860201
717,0.866528,0.856303
718,0.855237,0.857911
719,0.844840,0.862389
720,0.852011,0.864681
721,0.846864,0.843443
722,0.853235,0.852186
723,0.854041,0.856857
724,0.855260,0.857130
725,0.859432,0.860639
726,0.866002,0.864665
727,0.865927,0.858112
728,0.848533,0.853982
729,0.857089,0.861346
730,0.859330,0.866690
731,0.864157,0.865997
732,0.867766,0.860449
733,0.866101,0.861430
734,0.868772,0.866112
735,0.871908,0.869045
736,0.874876,0.873856
737,0.875994,0.873223
738,0.878391,0.863319
739,0.879578,0.865808
740,0.876562,0.865990
741,0.879298,0.862114
742,0.878245,0.862505
743,0.878198,0.866861
744,0.875735,0.861261
745,0.876745,0.862061
746,0.877436,0.860125
747,0.878998,0.862778
748,0.880824,0.869747
749,0.880866,0.866283
750,0.876776,0.865641
751,0.875061,0.868145
752,0.878792,0.873332
753,0.872221,0.874422
754,0.877092,0.878964
755,0.876421,0.879569
756,0.878315,0.877654
757,0.872728,0.877711
758,0.877296,0.882848
759,0.869304,0.886457
760,0.869228,0.876286
761,0.873419,0.880565
762,0.873883,0.879002
763,0.870304,0.880491
764,0.870603,0.876961
765,0.867487,0.878173
766,0.867238,0.873829
767,0.868372,0.865699
768,0.860505,0.868552
769,0.865601,0.856215
770,0.861596,0.861856
771,0.859009,0.859291
772,0.861527,0.854447
773,0.864306,0.853879
774,0.866469,0.856229
775,0.857658,0.841754
776,0.862817,0.846569
777,0.865840,0.852822
778,0.867625,0.854578
779,0.870943,0.852845
780,0.864236,0.852062
781,0.863591,0.854826
782,0.865423,0.853277
783,0.871510,0.860424
784,0.863045,0.860269
785,0.862069,0.858776
786,0.867657,0.863985
787,0.871566,0.864211
788,0.865918,0.861313
789,0.865641,0.860201
790,0.858738,0.866978
791,0.855603,0.863268
792,0.855482,0.868627
